NJLIM12P01  00NJLIM12P0100111409050257NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021Q'NEAL              Q'NEAL SHANE                       SLOW STREET NO 1                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P02  00NJLIM12P0200111409050258NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021M'SOUZA             M'SOUZA MALCOLM                    SLOW STREET NO 2                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P03  00NJLIM12P0300111409050259NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MILKY               MILKY A'TAR                        SLOW STREET NO 3                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P04  00NJLIM12P0400111409050260NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021GRAY                GRAY GR'ARCY                       SLOW STREET NO 4                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P05  00NJLIM12P0500111409050261NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MINI                MINI A'LILAH                       SLOW STREET NO 5                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P06  00NJLIM12P0600111409050262NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021M'ONES              M'ONES B'ILLY                      SLOW STREET NO 6                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P07  00NJLIM12P0700111409050263NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021R'ONER              R'ONER M'ADDISON                   SLOW STREET NO 7                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P08  00NJLIM12P0800111409050264NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021BI'D                BI'D SIMPSON                       SLOW STREET NO 8                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P09  00NJLIM12P0900111409050265NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021C'LAN               C'LAN SOLDIER                      SLOW STREET NO 9                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJLIM12P10  00NJLIM12P1000111409050266NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MIKE                MIKE K'ROPTER                      SLOW STREET NO 10                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
