NJSFG09P1   00NJSFG09P1 00111409582783NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021BRAUN               BRAUN JANET                        18128 KRAJCIK TRACE                                                   GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P2   00NJSFG09P2 00111409582789NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MCDERMOTT           MCDERMOTT BELL                     505 LEOPOLDO MILL                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P3   00NJSFG09P3 00111409582793NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021WIZA                WIZA NAYELI                        6243 TOWNE PLAINS                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P4   00NJSFG09P4 00111409582797NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021WATSICA             WATSICA EMANUEL                    632 KOBE STRAVENUE                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P5   00NJSFG09P5 00111409582800NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MURPHY              MURPHY CAROLINA                    493 BRENT KNOLLS                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P6   00NJSFG09P6 00111409582803NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021ROHAN               ROHAN AUSTEN                       5875 GERLACH MILLS                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P7   00NJSFG09P7 00111409582768NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021FADEL               FADEL JUNIOR                       3566 CORDELL PINES                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P8   00NJSFG09P8 00111409582773NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021NIKOLAUS            NIKOLAUS RICKEY                    702 ERIK LANE                                                         GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P9   00NJSFG09P9 00111409582778NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021ABBOTT              ABBOTT TOMAS                       55021 STANTON TRAIL                                                   GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJSFG09P10  00NJSFG09P1000111409582782NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021NOLAN               NOLAN CYRIL                        7961 LANGOSH MISSION                                                  GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
