NJBSQP1     00NJBSQP1   00111409582286NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021SWIFT               SWIFT NOAH                         03063 METZ CANYON                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP2     00NJBSQP2   00111409582292NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MITCHELL            MITCHELL DEANNA                    21084 MADELYNN TERRACE                                                GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP3     00NJBSQP3   00111409582293NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021ABSHIRE             ABSHIRE RAYMUNDO                   0867 GLOVER FOREST                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP4     00NJBSQP4   00111409582300NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021ULLRICH             ULLRICH LACY                       0811 LEOPOLD PLAINS                                                   GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP5     00NJBSQP5   00111409582121NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021PROHASKA            PROHASKA ANASTACIO                 71690 ROWE STREET                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP6     00NJBSQP6   00111409582127NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021JOHNS               JOHNS ARACELI                      93290 SCHOEN ALLEY                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP7     00NJBSQP7   00111409582130NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021SCHOWALTER          SCHOWALTER MITCHEL                 629 FRIESEN ISLE                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP8     00NJBSQP8   00111409582135NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021LEBSACK             LEBSACK WELDON                     99650 TESS FORGE                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP9     00NJBSQP9   00111409582137NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021OREILLY             OREILLY KALEB                      12304 FADEL BRIDGE                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP10    00NJBSQP10  00111409582140NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021ANKUNDING           ANKUNDING CEDRICK                  05296 ERIBERTO COURSE                                                 GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP11    00NJBSQP11  00111409582146NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021SCHADEN             SCHADEN JANNIE                     551 KOELPIN LODGE                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP12    00NJBSQP12  00111409582150NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021BEATTY              BEATTY CHEYANNE                    73635 BECHTELAR MANOR                                                 GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP13    00NJBSQP13  00111409582302NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MANN                MANN JORDYN                        1132 IDELL SPRING                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP14    00NJBSQP14  00111409582307NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021BERGSTROM           BERGSTROM CASIMER                  2370 HANE MEADOW                                                      GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP15    00NJBSQP15  00111409582310NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021STAMM               STAMM ELVIS                        5082 MITTIE VILLE                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJBSQP16    00NJBSQP16  00111409582313NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021WARD                WARD LUKAS                         8764 WOLFF CENTERS                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
