NJNB56L1    00NJNB56L1  00111409582336NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021STREICH             STREICH NATALIA                    4259 CROOKS TUNNEL                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L2    00NJNB56L2  00111409582341NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021TREMBLAY            TREMBLAY MARION                    610 LEDNER HEIGHTS                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L3    00NJNB56L3  00111409582344NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021OCONNELL            OCONNELL OLIVER                    6365 ARACELI COURT                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L4    00NJNB56L4  00111409582349NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021GRANT               GRANT MARJORY                      2328 ELSE BURGS                                                       GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L5    00NJNB56L5  00111409582353NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MERTZ               MERTZ JAZMYN                       055 LURLINE VILLE                                                     GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L6    00NJNB56L6  00111409582358NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021SCHUMM              SCHUMM ALEXANDRO                   33726 RUSSEL DRIVE                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L7    00NJNB56L7  00111409582361NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021SCHUMM              SCHUMM JAMAR                       75395 VICENTE MALL                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L8    00NJNB56L8  00111409582365NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021RUSSEL              RUSSEL CHAZ                        75610 HOLDEN GATEWAY                                                  GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L9    00NJNB56L9  00111409582367NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021HAHN                HAHN SUSAN                         256 ARDITH PARK                                                       GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJNB56L10   00NJNB56L10 00111409582371NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021KRAJCIK             KRAJCIK SADIE                      430 DARIAN SPRINGS                                                    GERMANTOWN                    NJ07001    FER0012                       NJ1234                        00000000          00000000          000000000000   D
