NJWE2RP1    00NJWE2RP1  00113080314877NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021PACOCHA             PACOCHA RODRIGO                    7498 BAUCH PARK                                                       NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP2    00NJWE2RP2  00113080314880NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021KUNZE               KUNZE DELBERT                      2865 BORER KEY                                                        NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP3    00NJWE2RP3  00113080314883NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021LANGWORTH           LANGWORTH ADRIEL                   906 DARE FALLS                                                        NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP4    00NJWE2RP4  00113080314888NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021KOSS                KOSS ETHELYN                       5084 SIMONIS DRIVE                                                    NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP5    00NJWE2RP5  00113080314892NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021MCKENZIE            MCKENZIE GENEVIEVE                 0653 ABDIEL PARKS                                                     NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP6    00NJWE2RP6  00113080314895NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021DACH                DACH DINO                          15592 NADER DRIVES                                                    NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP7    00NJWE2RP7  00113080314899NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021SCHULIST            SCHULIST MELBA                     816 CRUZ ISLAND                                                       NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP8    00NJWE2RP8  00113080314903NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021BREITENBERG         BREITENBERG VIVIENNE               26933 DIAMOND UNIONS                                                  NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP9    00NJWE2RP9  00113080314909NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021ADAMS               ADAMS MADONNA                      5217 QUINTEN RAPIDS                                                   NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
NJWE2RP10   00NJWE2RP10 00113080314911NJT2017052679838432000163201714120161412017141201729000 14822   00VAN     99945   201703310000000000000000021RUNOLFSSON          RUNOLFSSON GERALDINE               659 ADA LOOP                                                          NEWARK                        NJ07114    FER0012                       NJ1234                        00000000          00000000          000000000000   D
